,z,True Strain,Observed Strain
0,0.0,0.0003637827270671894,0.0003515366054877123
1,0.30303030303030304,0.00036367745355282493,0.0003613216979861315
2,0.6060606060606061,0.0003635019976955509,0.00038198634434859186
3,0.9090909090909092,0.00036325635949536724,0.0003628138935175232
4,1.2121212121212122,0.000362940538952274,0.00038825991024662104
5,1.5151515151515151,0.0003625545360662711,0.0003795896238373566
6,1.8181818181818183,0.0003620983508373586,0.0003621971721485575
7,2.121212121212121,0.00036157198326553647,0.00035223811853595606
8,2.4242424242424243,0.00036097543335080476,0.00038571864608901677
9,2.7272727272727275,0.0003603087010931634,0.0003395959962023287
10,3.0303030303030303,0.0003595853741931047,0.0003254057545575679
11,3.3333333333333335,0.00035881904035112096,0.0003713630080403402
12,3.6363636363636367,0.0003580096995672121,0.0003934290273521253
13,3.9393939393939394,0.00035715735184137817,0.00034626380864858963
14,4.242424242424242,0.0003562619971736192,0.0003696567208618505
15,4.545454545454546,0.0003553236355639351,0.0003504898557800527
16,4.848484848484849,0.000354342267012326,0.0003862673001653253
17,5.151515151515151,0.00035331789151879175,0.0003662728917244186
18,5.454545454545455,0.0003522505090833324,0.00033607680436240214
19,5.757575757575758,0.00035114011970594806,0.00037624371201702743
20,6.0606060606060606,0.0003499867233866386,0.0003267379642393915
21,6.363636363636364,0.00034879032012540413,0.000323300388311299
22,6.666666666666667,0.0003475509099222445,0.0003476880398660025
23,6.96969696969697,0.00034626849277715984,0.0003385645316208099
24,7.272727272727273,0.0003449430686901501,0.0003243103826872565
25,7.575757575757576,0.00034357463766121525,0.00033784898996854716
26,7.878787878787879,0.0003421631996903554,0.00036786673365399254
27,8.181818181818182,0.0003407087547775704,0.0003133802751291986
28,8.484848484848484,0.00033921130292286037,0.000320138772230156
29,8.787878787878789,0.00033767084412622523,0.0003316201555501076
30,9.090909090909092,0.000336087378387665,0.00031788085754581386
31,9.393939393939394,0.00033446090570717974,0.0003014160958317611
32,9.696969696969697,0.0003327914260847694,0.0003608175414578799
33,10.0,0.000331078939520434,0.0003069995457803829
34,10.303030303030303,0.0003293234460141735,0.0003267053254993162
35,10.606060606060606,0.0003275249455659879,0.0003219726017430025
36,10.90909090909091,0.00032568343817587726,0.0003305371146742035
37,11.212121212121213,0.0003237989238438415,0.00029238994105946836
38,11.515151515151516,0.00032187140256988075,0.0003225179831390423
39,11.818181818181818,0.00031990087435399483,0.00036079743161387316
40,12.121212121212121,0.00031788733919618393,0.0003230509969539095
41,12.424242424242424,0.0003158307970964479,0.00031442517270493
42,12.727272727272728,0.0003125071077895757,0.0003395986971423298
43,13.030303030303031,0.0003078865216888419,0.00030769050064414745
44,13.333333333333334,0.00030316342947273224,0.00027440338856147856
45,13.636363636363637,0.0002983378311412465,0.0002965240949814138
46,13.93939393939394,0.00029340972669438485,0.0003325119431897111
47,14.242424242424242,0.00028837911613214726,0.0002944176961864322
48,14.545454545454547,0.0002832459994545336,0.0002563795472053738
49,14.84848484848485,0.0002780103766615441,0.00029190082104809897
50,15.151515151515152,0.00027267224775317855,0.00028038984902014095
51,15.454545454545455,0.0002672316127294371,0.00026386524478234577
52,15.757575757575758,0.00026170246062023694,0.00027436876687334156
53,16.060606060606062,0.00025616133507911135,0.0002339903283544261
54,16.363636363636363,0.0002506202095379858,0.000284299376042345
55,16.666666666666668,0.0002450790839968603,0.00024270663239511731
56,16.96969696969697,0.00023953795845573476,0.0002393689028121859
57,17.272727272727273,0.0002339968329146092,0.00022305469374004123
58,17.575757575757578,0.00022845570737348365,0.0002486580321252911
59,17.87878787878788,0.00022291458183235815,0.0002022371463162326
60,18.181818181818183,0.00021737345629123256,0.00023653948183455817
61,18.484848484848484,0.00021183233075010706,0.00021626451781799402
62,18.78787878787879,0.0002062912052089815,0.0002021979357099485
63,19.09090909090909,0.000200750079667856,0.00017680702443286192
64,19.393939393939394,0.00019520895412673041,0.00019021392372995158
65,19.6969696969697,0.00018966782858560486,0.00016871990910343455
66,20.0,0.00018412670304447936,0.00020129130653418707
67,20.303030303030305,0.00017858557750335377,0.00018088799231382507
68,20.606060606060606,0.00017304445196222827,0.00020534291353796762
69,20.90909090909091,0.0001675033264211027,0.00018674883536585031
70,21.21212121212121,0.0001619622008799772,0.00017066375926210698
71,21.515151515151516,0.00015642107533885162,0.00015538233233596598
72,21.81818181818182,0.00015087994979772607,0.00015117901261434456
73,22.12121212121212,0.00014533882425660056,0.00013681451995221645
74,22.424242424242426,0.00013979769871547498,0.0001222319341900846
75,22.727272727272727,0.00013425657317434948,0.0001433459910149401
76,23.03030303030303,0.00012871544763322392,0.00015073861084247245
77,23.333333333333336,0.00012317432209209834,0.00015180793178555413
78,23.636363636363637,0.00011763319655097283,0.00013761259794588785
79,23.93939393939394,0.00011209207100984728,0.00011901550775268737
80,24.242424242424242,0.00010655094546872176,0.00012613792607964192
81,24.545454545454547,0.0001010098199275962,9.603045461276261e-05
82,24.848484848484848,9.546869438647069e-05,7.14255709537362e-05
83,25.151515151515152,8.992756884534513e-05,0.00011161628497855441
84,25.454545454545457,8.438644330421956e-05,0.00011626544732990126
85,25.757575757575758,7.884531776309406e-05,8.752052465866785e-05
86,26.060606060606062,7.330419222196849e-05,5.0944690369228946e-05
87,26.363636363636363,6.776306668084297e-05,6.052216907486319e-05
88,26.666666666666668,6.222194113971741e-05,6.551067383964927e-05
89,26.96969696969697,5.6680815598591904e-05,3.0645282254557375e-05
90,27.272727272727273,5.1139690057466334e-05,1.2469867959290383e-05
91,27.575757575757578,4.5598564516340763e-05,8.481922301308794e-05
92,27.87878787878788,4.005743897521526e-05,-4.460265709444344e-06
93,28.181818181818183,3.472459847206837e-05,4.41841377309362e-05
94,28.484848484848484,3.0052131747099297e-05,3.315427791070709e-05
95,28.78787878787879,2.6119726143386355e-05,6.191579121908608e-05
96,29.090909090909093,2.284535629479737e-05,6.331231932775768e-05
97,29.393939393939394,2.0297429076263966e-05,2.660560018528307e-07
98,29.6969696969697,1.8502392137113213e-05,3.504250746298432e-05
99,30.0,1.7406318459511497e-05,2.672623161068268e-05
